,master_id,first_order_date,last_order_date,order_num_total_ever_online,order_num_total_ever_offline,customer_value_total_ever_offline,customer_value_total_ever_online,T_weekly,recency_weekly,frequency,monetary_avg,exp_sales_3_month,exp_sales_6_month,exp_average_value,clv,customer_segment
29,8d83f104-d60a-11e9-93bc-000d3a38a36f,2019-07-30,2021-03-03,2.0,1.0,29.99,431.93,96.0,83.0,3.0,154.0,0.49101237791914704,0.9820247558382945,162.23957031212672,167.16559936307678,C
32,4ca9c082-a9a0-11e9-a2fc-000d3a38a36f,2019-10-05,2021-03-03,2.0,1.0,119.98,468.07,86.0,74.0,3.0,196.0,0.5211390140217067,1.0422780280434116,206.09794966146598,225.3849642256706,B
33,5ece0254-6260-11ea-9861-000d3a38a36f,2019-08-04,2021-03-03,7.0,2.0,159.97,927.41,95.0,82.0,9.0,121.0,0.9125138801842595,1.8250277603685225,123.1950551142165,235.9013560399817,B
34,2660d55a-ae5a-11e9-a2fc-000d3a38a36f,2019-02-13,2021-03-03,4.0,6.0,534.88,542.16,120.0,107.0,10.0,108.0,0.85762154182839,1.715243083656784,109.8053438407948,197.61360428055957,B
35,d6da071e-1e4c-11ea-8bf2-000d3a38a36f,2019-11-14,2021-03-03,1.0,2.0,279.98,87.45,81.0,68.0,3.0,122.0,0.5376325495259433,1.0752650990518893,128.82366223643967,145.33789883814228,C
36,0bfe064e-f047-11ea-bde9-000d3a38a36f,2020-09-06,2021-03-03,6.0,1.0,79.98,709.01,38.0,25.0,7.0,113.0,1.156144135891181,2.3122882717823607,115.68584995573664,280.66606414063597,A
38,3677d748-ad9e-11e9-a2fc-000d3a38a36f,2019-06-26,2020-06-21,1.0,2.0,199.96,54.99,101.0,52.0,3.0,85.0,0.47721856320909756,0.9544371264181956,90.18651852392652,90.31432345645204,D
42,5ad0c046-5316-11ea-acd3-000d3a38a36f,2019-12-19,2021-03-04,1.0,3.0,263.46,123.99,76.0,63.0,4.0,97.0,0.6336444010466409,1.2672888020932804,101.24119783404582,134.6172017014809,C
44,c55e35be-3ecc-11ea-b794-000d3a38a36f,2019-12-02,2020-06-22,2.0,1.0,99.99,119.98,78.0,29.0,3.0,73.0,0.5480394950347713,1.0960789900695431,77.65555299554387,89.3062916664688,D
45,283e0bd0-a22b-11e9-a2fc-000d3a38a36f,2019-03-07,2020-06-22,3.0,1.0,74.99,287.96,117.0,68.0,4.0,91.0,0.4997179950404632,0.9994359900809264,95.04426419782344,99.66635687379471,D
46,9450c314-ac7e-11e9-a2fc-000d3a38a36f,2019-02-15,2020-06-22,7.0,3.0,249.96,503.93,120.0,70.0,10.0,75.0,0.85762154182839,1.715243083656784,76.38045728651714,137.45977138298744,C
47,6875c8b4-a3f7-11e9-a2fc-000d3a38a36f,2019-04-09,2020-06-22,1.0,2.0,199.97,76.99,112.0,63.0,3.0,92.0,0.4494414112992664,0.8988828225985332,97.49624841548307,91.95146909061276,D
48,a5630c98-5bbf-11ea-b723-000d3a38a36f,2020-01-06,2020-06-22,2.0,2.0,119.98,286.28,73.0,24.0,4.0,102.0,0.6463187416273604,1.2926374832547207,106.40530919756448,144.3137558473656,C
49,fe39ac16-b05a-11e9-9757-000d3a38a36f,2019-04-10,2020-06-22,2.0,1.0,99.99,389.97,112.0,63.0,3.0,163.0,0.4494414112992664,0.8988828225985332,171.6377944584137,161.87645789883982,C
52,eaa03c3a-3a23-11ea-85d6-000d3a38a36f,2019-11-13,2021-03-05,8.0,3.0,230.46,1161.56,81.0,68.0,11.0,127.0,1.1452936018765,2.290587203753018,128.8614353001222,309.697344059883,A
53,4b6a0fb2-2414-11ea-a30f-000d3a38a36f,2019-08-17,2021-03-05,2.0,1.0,89.99,799.8,93.0,81.0,3.0,297.0,0.49967817854921565,0.9993563570984308,311.5669095253532,326.69267145362534,A
54,95a0ee0e-625b-11ea-9861-000d3a38a36f,2020-03-04,2021-03-05,1.0,5.0,378.91,55.99,65.0,52.0,6.0,72.0,0.8517700221620055,1.703540044324012,74.2557477549801,132.72419773823256,C
55,e0d14e8c-1198-11ea-846f-000d3a38a36f,2019-11-09,2020-06-23,2.0,1.0,219.9,989.74,81.0,32.0,3.0,403.0,0.5376325495259433,1.0752650990518893,422.25710502606654,476.38732938152623,A
59,4f81ec18-5b9c-11ea-a24e-000d3a38a36f,2020-02-14,2021-03-06,1.0,2.0,279.98,84.99,68.0,55.0,3.0,122.0,0.5858398038182517,1.1716796076365026,128.82366223643967,158.36973824923837,C
60,081002e8-f26a-11e9-9346-000d3a38a36f,2019-10-19,2021-03-06,2.0,1.0,209.97,195.96,84.0,72.0,3.0,135.0,0.5276134819117912,1.0552269638235834,142.39887489218754,157.65949250985815,C
63,ee9dade0-a94b-11e9-a2fc-000d3a38a36f,2016-10-28,2021-03-06,5.0,1.0,179.98,549.22,240.0,227.0,6.0,122.0,0.38152447690494923,0.7630489538098996,125.33798303790917,100.34662938436156,D
64,0c867e26-aaf6-11e9-a2fc-000d3a38a36f,2017-08-23,2020-06-24,4.0,2.0,613.92,426.96,197.0,148.0,6.0,173.0,0.4414025129169816,0.8828050258339644,177.4418630264968,164.3571386654113,C
65,541875dc-d693-11e9-93bc-000d3a38a36f,2019-08-28,2020-06-24,2.0,1.0,49.99,184.94,92.0,43.0,3.0,78.0,0.502635154950314,1.0052703099006284,82.87678863236998,87.41449577316975,D
66,e17c3cb8-aaa8-11e9-a2fc-000d3a38a36f,2019-08-03,2020-06-24,3.0,2.0,219.96,1011.91,95.0,47.0,5.0,246.0,0.6334162176595723,1.2668324353191447,253.25773013398782,336.6274836958678,A
68,7fd453fa-1eb7-11ea-aa32-000d3a38a36f,2019-09-06,2020-06-24,3.0,2.0,220.73,413.97,91.0,42.0,5.0,127.0,0.6484990995626824,1.296998199125363,131.15342782398736,178.478827891284,C
69,6f8458be-ac21-11e9-a2fc-000d3a38a36f,2018-03-25,2020-06-24,6.0,1.0,79.99,565.9,166.0,117.0,7.0,92.0,0.5471033153768341,1.0942066307536615,94.29744623733383,108.25973504872522,D
72,507081d0-4f34-11ea-99ba-000d3a38a36f,2019-12-03,2021-03-07,1.0,3.0,532.93,59.9,78.0,66.0,4.0,148.0,0.6254674373571204,1.2509348747142415,153.91513374193607,202.01504319989803,B
73,c4f38c80-ae23-11e9-a2fc-000d3a38a36f,2018-02-25,2021-03-07,5.0,1.0,64.98,531.4,170.0,158.0,6.0,99.0,0.4896563484557677,0.9793126969115421,101.8401548077618,104.64250375665702,D
74,8d280312-4b35-11ea-a626-000d3a38a36f,2019-09-06,2021-03-07,1.0,2.0,110.48,166.97,91.0,78.0,3.0,92.0,0.5056273370539227,1.0112546741078459,97.49624841548307,103.44657898807803,D
75,e7a1aba6-aa66-11e9-a2fc-000d3a38a36f,2019-07-04,2021-03-07,4.0,1.0,59.99,774.08,100.0,87.0,5.0,167.0,0.6155213661464997,1.231042732293002,172.19689078533204,222.4160483292402,B
76,adc12d0e-a8b2-11e9-a2fc-000d3a38a36f,2017-02-02,2021-03-07,10.0,1.0,129.99,886.93,226.0,213.0,11.0,92.0,0.5971847081958475,1.194369416391695,93.45224402154152,117.1105699948595,D
77,60b9059e-3df0-11ea-9e19-000d3a38a36f,2019-09-08,2021-03-07,1.0,2.0,390.72,439.92,90.0,78.0,3.0,277.0,0.508655357362922,1.0173107147258427,290.68196697804876,310.26972110447076,A
78,25673a0a-4a62-11ea-8533-000d3a38a36f,2019-10-06,2021-03-07,1.0,3.0,229.97,169.99,86.0,74.0,4.0,100.0,0.594766411107455,1.18953282221491,104.33966465215701,130.2247560999012,C
79,c3705d4a-d6b7-11e9-93bc-000d3a38a36f,2019-08-31,2021-03-07,3.0,2.0,595.89,1224.79,91.0,79.0,5.0,364.0,0.6484990995626824,1.296998199125363,374.3359458699546,509.41132050400904,A
80,9f000da8-aa29-11e9-a2fc-000d3a38a36f,2017-04-22,2021-03-07,2.0,4.0,789.9,208.39,214.0,202.0,6.0,166.0,0.4156145883859295,0.8312291767718601,170.29035008688675,148.51779867971163,C
81,ec555578-a528-11e9-a2fc-000d3a38a36f,2019-09-21,2020-06-25,2.0,1.0,12.99,230.98,88.0,40.0,3.0,81.0,0.5148215192836088,1.0296430385672184,86.00953001446564,92.91823430088095,D
82,8d4d996e-ae24-11e9-a2fc-000d3a38a36f,2018-02-26,2020-06-25,4.0,2.0,471.71,750.93,170.0,121.0,6.0,204.0,0.4896563484557677,0.9793126969115421,209.11284890191283,214.86703469853632,B
83,179546e0-a721-11e9-a2fc-000d3a38a36f,2014-06-29,2021-03-08,15.0,3.0,259.95,2297.53,361.0,349.0,18.0,142.0,0.6049020530863957,1.2098041061727876,143.2390793780762,181.82109192614203,B
84,e7a1d4fc-aee2-11e9-a2fc-000d3a38a36f,2017-09-14,2021-03-08,9.0,8.0,1028.33,1231.21,194.0,182.0,17.0,133.0,0.9334049687430708,1.8668099374861522,134.2447113692663,262.9450356781456,A
85,3adfc65a-44df-11ea-acaf-000d3a38a36f,2019-07-30,2021-03-08,3.0,3.0,239.8,344.97,96.0,84.0,6.0,97.0,0.6991255436026018,1.398251087205207,99.79686539644464,146.40966684197053,C
86,e1bc703a-4c6f-11ea-a626-000d3a38a36f,2019-09-05,2021-03-08,1.0,3.0,419.96,69.99,91.0,79.0,4.0,122.0,0.577063218308302,1.1541264366166046,127.06175465163909,153.86361216297513,C
87,62362c12-ac6e-11e9-a2fc-000d3a38a36f,2017-06-29,2021-03-08,7.0,1.0,72.98,1404.41,205.0,193.0,8.0,185.0,0.5139912638614001,1.0279825277228019,188.50722142693348,203.3206135178278,B
88,f2b89784-a769-11e9-a2fc-000d3a38a36f,2015-02-05,2021-03-08,3.0,1.0,99.98,332.52,330.0,318.0,4.0,108.0,0.23818377153764994,0.4763675430752992,112.60224283378686,56.280363115260826,D
90,7197e050-fd7d-11e9-a5e8-000d3a38a36f,2019-11-02,2021-03-08,4.0,1.0,99.99,725.85,82.0,70.0,5.0,165.0,0.6852105649782041,1.3704211299564073,170.14471763726482,244.64717371802763,B
91,bbc89b82-53be-11ea-abe0-000d3a38a36f,2019-11-09,2021-03-08,1.0,2.0,289.98,109.98,81.0,69.0,3.0,133.0,0.5376325495259433,1.0752650990518893,140.3103806374571,158.2971292152854,C
93,e1ddac60-5bc8-11ea-ac49-000d3a38a36f,2020-01-02,2021-03-08,1.0,2.0,279.97,104.99,74.0,62.0,3.0,128.0,0.5625587505311236,1.1251175010622512,135.089145000631,159.47257962908589,C
94,be46afa0-e2d7-11e9-ad00-000d3a38a36f,2019-09-29,2020-06-26,2.0,2.0,239.98,340.16,87.0,39.0,4.0,145.0,0.5911394064564378,1.182278812912881,150.8166669238249,187.08412271333418,B
95,319d9fb2-aac1-11e9-a2fc-000d3a38a36f,2016-10-29,2021-03-09,7.0,3.0,229.97,1126.47,239.0,227.0,10.0,136.0,0.534638896713164,1.06927779342633,138.16585364442435,155.00972953675054,C
96,e22bc1a6-27e4-11ea-a043-000d3a38a36f,2019-07-04,2021-03-09,3.0,2.0,189.97,201.47,100.0,88.0,5.0,78.0,0.6155213661464997,1.231042732293002,80.87518569634014,104.46146343546928,D
97,3b35b038-d193-11ea-b0fc-000d3a38a36f,2020-07-29,2021-03-09,1.0,2.0,270.72,179.99,44.0,32.0,3.0,150.0,0.7020559456169249,1.4041118912338502,158.06258180266585,232.86192060120612,B
99,415e400e-76a5-11ea-b23f-000d3a38a36f,2020-04-23,2021-03-09,10.0,2.0,322.38,1004.9,58.0,46.0,12.0,111.0,1.4293427568266495,2.8586855136532914,112.53335117045452,337.53228485864696,A
101,2f01ba8a-a144-11e9-a2fc-000d3a38a36f,2019-02-19,2020-06-27,2.0,2.0,189.98,220.96,119.0,71.0,4.0,103.0,0.4946183845443659,0.9892367690887305,107.4381314702682,111.51322688559226,D
103,7797f5e6-5bb8-11ea-9159-000d3a38a36f,2019-12-27,2020-06-27,2.0,1.0,139.99,269.98,75.0,26.0,3.0,137.0,0.5588572874903277,1.1177145749806559,144.48736914691798,169.44489299988948,C
105,375774bc-a89d-11e9-a2fc-000d3a38a36f,2015-09-29,2021-03-10,4.0,1.0,29.99,457.72,296.0,284.0,5.0,98.0,0.29206895805207933,0.5841379161041587,101.39691717701248,62.14523497274847,D
107,3e41f07c-d6ce-11e9-93bc-000d3a38a36f,2019-09-01,2021-03-10,2.0,1.0,49.99,337.97,91.0,79.0,3.0,129.0,0.5056273370539227,1.0112546741078459,136.13339212799622,144.44180089546256,C
108,bc4be74c-b1b3-11e9-89fa-000d3a38a36f,2019-07-18,2021-03-10,1.0,2.0,189.96,308.9,98.0,86.0,3.0,166.0,0.4854002565846234,0.9708005131692503,174.77053584050935,178.01881317028446,C
109,1fd132ac-a3bf-11e9-a2fc-000d3a38a36f,2019-02-12,2021-03-10,2.0,3.0,229.97,213.96,120.0,108.0,5.0,89.0,0.5530264338102019,1.1060528676204038,92.16213801070992,106.9537739258766,D
110,70367542-b15a-11e9-9757-000d3a38a36f,2019-03-07,2021-03-10,4.0,4.0,431.14,550.03,117.0,105.0,8.0,123.0,0.7471626022988335,1.4943252045976638,125.50615953630164,196.77859187393105,B
111,ba86c08e-ac3c-11e9-a2fc-000d3a38a36f,2019-10-18,2021-03-10,1.0,3.0,781.45,275.97,85.0,73.0,4.0,264.0,0.5984381983458633,1.1968763966917246,273.7225173755688,343.7379750611659,A
112,2b2e6e80-2fd8-11ea-bb80-000d3a38a36f,2019-08-01,2021-03-10,1.0,2.0,150.97,74.99,96.0,84.0,3.0,75.0,0.49101237791914704,0.9820247558382945,79.74404725027432,82.16529067836927,D
114,f59c5da6-6239-11ea-9d1a-000d3a38a36f,2019-07-15,2021-03-10,1.0,2.0,197.71,83.99,98.0,86.0,3.0,94.0,0.4854002565846234,0.9708005131692503,99.5847426702135,101.43562022489664,D
115,604250c0-5b37-11ea-8e7d-000d3a38a36f,2020-01-14,2020-06-28,2.0,1.0,119.99,229.94,72.0,24.0,3.0,117.0,0.5701107460146589,1.1402214920293166,123.60242659961357,147.87130516078446,C
118,1fb00cfa-c5e0-11ea-9189-000d3a38a36f,2020-07-14,2021-03-11,2.0,1.0,319.99,255.71,46.0,34.0,3.0,192.0,0.6906388060826131,1.3812776121652257,201.9209611520051,292.6375579310719,A
121,f6d1a0c4-a6bd-11e9-a2fc-000d3a38a36f,2014-02-17,2021-03-11,22.0,1.0,109.98,2277.2,380.0,368.0,23.0,104.0,0.7110479737443401,1.4220959474886754,104.75703099539746,156.30748178705014,C
122,aa06cf1e-9e19-11e9-9897-000d3a38a36f,2018-06-14,2021-03-11,3.0,6.0,604.65,662.86,155.0,143.0,9.0,141.0,0.676501422901291,1.3530028458025838,143.48158391249706,203.68664680116552,B
123,c2b11228-a9f8-11e9-a2fc-000d3a38a36f,2020-02-10,2021-03-11,3.0,1.0,237.49,1089.97,68.0,56.0,4.0,332.0,0.6686082373912698,1.3372164747825384,343.9544319194225,482.58110626848946,A
124,4b59a568-b061-11e9-9757-000d3a38a36f,2019-10-24,2021-03-11,1.0,2.0,219.98,143.99,84.0,72.0,3.0,121.0,0.5276134819117912,1.0552269638235834,127.77941510907445,141.47329292142064,C
126,bb57d1f8-a249-11e9-a2fc-000d3a38a36f,2019-03-09,2020-06-29,1.0,2.0,433.84,104.97,116.0,68.0,3.0,180.0,0.4401257336279939,0.8802514672559869,189.38999562362244,174.91678163472446,C
130,aa252d7c-ae83-11e9-a2fc-000d3a38a36f,2019-09-14,2021-03-12,5.0,4.0,400.94,1019.66,89.0,78.0,9.0,158.0,0.9454997256008807,1.890999451201756,160.72513339103557,318.8914564187936,A
131,0d54e5e6-9de9-11e9-9897-000d3a38a36f,2017-12-17,2021-03-12,6.0,1.0,39.99,547.98,180.0,169.0,7.0,84.0,0.5172980282308925,1.034596056461785,86.14948291603753,93.51713216275797,D
132,0ad69060-ae21-11e9-a2fc-000d3a38a36f,2018-12-09,2021-03-12,4.0,1.0,279.98,645.98,129.0,118.0,5.0,185.0,0.5288630682979449,1.0577261365958925,190.66644911793716,211.59977465007327,B
133,7d350e3c-2506-11ea-bf27-000d3a38a36f,2019-10-28,2021-03-12,4.0,1.0,199.99,358.41,83.0,72.0,5.0,112.0,0.6809275387640032,1.3618550775280074,115.76212921348312,165.41126648251202,C
135,5f40e0ee-63e6-11ea-a6dc-000d3a38a36f,2020-03-11,2021-03-12,1.0,3.0,307.85,109.97,64.0,52.0,4.0,104.0,0.6875781598066701,1.375156319613349,108.47095374297194,156.50680082737654,C
137,8d33e08a-abab-11e9-a2fc-000d3a38a36f,2018-01-09,2020-06-30,2.0,1.0,169.98,345.98,177.0,129.0,3.0,172.0,0.33441909209647697,0.6688381841929562,181.03601860470067,127.04387604768856,C
138,6a39dc88-1956-11ea-b6a2-000d3a38a36f,2019-04-25,2020-06-30,4.0,2.0,204.98,554.44,110.0,62.0,6.0,127.0,0.646779781656794,1.293559563313589,130.44620656620208,177.04577673715903,C
139,59810e0a-a71b-11e9-a2fc-000d3a38a36f,2014-06-13,2020-06-30,4.0,1.0,39.99,459.11,364.0,316.0,5.0,100.0,0.24703162611986035,0.4940632522397198,103.44909032507972,53.62618662491823,D
140,15cda416-a9f5-11e9-a2fc-000d3a38a36f,2016-05-16,2020-06-30,3.0,1.0,29.99,417.97,263.0,215.0,4.0,112.0,0.28512235863169144,0.5702447172633835,116.73353192460178,69.84327295959604,D
141,7f4dab86-fa4d-11e9-b138-000d3a38a36f,2019-10-29,2021-03-13,1.0,2.0,199.97,99.98,83.0,72.0,3.0,100.0,0.5309114205156217,1.0618228410312425,105.85022543440482,117.92653470512741,D
142,f791947a-40c7-11ea-82e1-000d3a38a36f,2019-10-06,2021-03-13,1.0,3.0,388.95,111.98,86.0,75.0,4.0,125.0,0.594766411107455,1.18953282221491,130.16022146975027,162.45100222733893,C
145,86bc0a1a-afb2-11e9-9757-000d3a38a36f,2017-06-19,2020-07-01,13.0,1.0,269.97,1384.82,206.0,158.0,14.0,118.0,0.7666073467124472,1.5332146934248945,119.3764346506201,192.0389235253166,B
146,3f11109a-b19a-11e9-89fa-000d3a38a36f,2019-07-02,2020-07-01,1.0,2.0,174.98,176.96,100.0,52.0,3.0,117.0,0.4799149751700861,0.959829950340173,123.60242659961357,124.47696213532063,C
147,d361ab4c-60db-11ea-8dd8-000d3a38a36f,2020-02-16,2021-03-14,3.0,1.0,70.49,612.92,67.0,56.0,4.0,171.0,0.6732519045193625,1.3465038090387242,177.67004601412188,251.00911208374896,B
148,4d6f45fa-a180-11e9-a2fc-000d3a38a36f,2019-02-23,2021-03-14,1.0,2.0,179.98,49.99,118.0,107.0,3.0,77.0,0.4356112255462337,0.8712224510924692,81.83254150500476,74.80364909431493,D
149,a1ac3b9a-fcc6-11e9-a5e8-000d3a38a36f,2019-11-01,2021-03-14,2.0,1.0,299.9,239.98,83.0,71.0,3.0,180.0,0.5309114205156217,1.0618228410312425,189.38999562362244,210.99724445606816,B
152,13a9382a-33cf-11eb-9a15-000d3a38a36f,2014-03-04,2021-03-14,14.0,2.0,139.98,1777.83,378.0,367.0,16.0,120.0,0.529551217361128,1.059102434722256,121.21901928890917,134.70273658079321,C
153,c4f21ca6-b0cb-11e9-9757-000d3a38a36f,2020-09-06,2021-03-14,1.0,2.0,260.97,454.97,38.0,27.0,3.0,239.0,0.7386904278368477,1.477380855673694,251.00057613817046,389.0763846306443,A
154,f5cac65a-22f6-11ea-8523-000d3a38a36f,2019-03-25,2020-07-02,5.0,3.0,576.94,1261.9,114.0,66.0,8.0,230.0,0.7588991969067902,1.5177983938135773,234.23379860561786,373.01932915637246,A
155,2d0e63ec-af20-11e9-a2fc-000d3a38a36f,2018-12-01,2020-07-02,2.0,1.0,89.98,169.89,130.0,83.0,3.0,87.0,0.41035630350428837,0.8207126070085763,92.27501277865696,79.45896522207796,D
157,deeaa1b6-aa8e-11e9-a2fc-000d3a38a36f,2019-07-07,2021-03-15,2.0,2.0,190.48,479.03,99.0,88.0,4.0,167.0,0.5508305097192405,1.1016610194384804,173.53875692330698,200.59132699632482,B
158,fc3b95d8-f136-11e9-9346-000d3a38a36f,2019-10-16,2021-03-15,2.0,1.0,79.98,377.84,85.0,74.0,3.0,153.0,0.5243562629204094,1.0487125258408183,161.1953231847615,177.36853498859298,C
159,af46deda-a489-11e9-a2fc-000d3a38a36f,2019-05-07,2021-03-15,5.0,2.0,214.97,1345.85,108.0,97.0,7.0,223.0,0.7186435382494079,1.4372870764988157,227.7203456235609,343.41008197653923,A
160,e4da5310-a93e-11e9-a2fc-000d3a38a36f,2017-08-20,2021-03-15,9.0,2.0,180.87,1478.16,197.0,186.0,11.0,151.0,0.6603943548075948,1.3207887096151896,153.14202360543464,212.22444948039808,B
161,6925518c-a9f4-11e9-a2fc-000d3a38a36f,2017-03-16,2021-03-15,2.0,1.0,49.99,156.95,220.0,209.0,3.0,69.0,0.285998710438034,0.5719974208760689,73.478564486083,44.098358119947804,D
162,ac1fe55c-272f-11ea-aaaa-000d3a38a36f,2019-11-17,2021-03-15,1.0,2.0,209.98,185.78,80.0,69.0,3.0,132.0,0.5410573356715277,1.0821146713430567,139.26613351009186,158.1198850267019,C
164,4ccd389c-5b2e-11ea-8f99-000d3a38a36f,2019-12-27,2021-03-15,3.0,2.0,279.97,245.96,75.0,63.0,5.0,105.0,0.7167698839884317,1.4335397679768642,108.5795231952478,163.31473171208364,C
166,18f4cc6c-15e5-11ea-aa74-000d3a38a36f,2019-09-24,2021-03-15,1.0,2.0,199.98,51.49,88.0,77.0,3.0,84.0,0.5148215192836088,1.0296430385672184,89.1422713965613,96.30261272611676,D
167,a8e3b248-b0c8-11e9-9757-000d3a38a36f,2019-11-29,2021-03-15,6.0,1.0,204.99,1367.78,79.0,67.0,7.0,225.0,0.8522522528013339,1.704504505602669,229.757336453885,410.8991357024945,A
170,44f2f3ea-4b1c-11ea-a626-000d3a38a36f,2019-09-10,2021-03-16,1.0,2.0,169.98,49.99,90.0,79.0,3.0,73.0,0.508655357362922,1.0173107147258427,77.65555299554387,82.8884124482354,D
172,67b2dba8-5b4c-11ea-b23a-000d3a38a36f,2019-12-14,2021-03-16,3.0,1.0,139.99,679.05,76.0,65.0,4.0,205.0,0.6336444010466409,1.2672888020932804,212.78600328604873,282.934782839731,A
173,ec840f8a-d633-11e9-93bc-000d3a38a36f,2019-08-18,2020-07-04,1.0,2.0,79.98,129.96,93.0,46.0,3.0,70.0,0.49967817854921565,0.9993563570984308,74.52281161344821,78.1407000099012,D
174,eed158fe-23a1-11ea-8523-000d3a38a36f,2019-11-20,2020-07-04,4.0,1.0,89.99,456.96,80.0,32.0,5.0,109.0,0.693940317861711,1.3878806357234228,112.68386949138227,164.0897882725451,C
